plan,market,persona,current_count,target_count,gap_count,gap_percentage,urgency_level,recommended_action,timeframe,strategic_reason
90-Day Plan,LATAM_USD,Hiring Manager,0,50,50,100,Critical,"URGENT: Search LinkedIn for Hiring Manager in LATAM_USD. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,Hiring managers at LATAM companies paying USD compensation
90-Day Plan,US_CANADA_NEARSHORE,Data Engineering Manager,0,30,30,100,Critical,"URGENT: Search LinkedIn for Data Engineering Manager in US_CANADA_NEARSHORE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,DE managers who manage remote LATAM data teams
90-Day Plan,LATAM_USD,Data Engineering Manager,0,30,30,100,Critical,"URGENT: Search LinkedIn for Data Engineering Manager in LATAM_USD. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,DE managers at LATAM-USD companies that value remote data engineers
90-Day Plan,SPAIN_EU,Hiring Manager,0,60,60,100,Critical,"URGENT: Search LinkedIn for Hiring Manager in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",75d,Hiring managers at Madrid/Barcelona/Dublin companies with data roles
90-Day Plan,SPAIN_EU,Head of Data,0,50,50,100,Critical,"URGENT: Search LinkedIn for Head of Data in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",75d,Heads of Data at Spain/EU companies who hire Data Engineers
90-Day Plan,SPAIN_EU,Data Engineering Manager,0,40,40,100,Critical,"URGENT: Search LinkedIn for Data Engineering Manager in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",75d,DE managers in Spain/EU who manage data infrastructure teams
90-Day Plan,SPAIN_EU,Recruiter,2,80,78,98,Critical,"URGENT: Search LinkedIn for Recruiter in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",60d,Spanish/EU recruiters who place international data engineering candidates
90-Day Plan,LATAM_USD,Head of Data,1,30,29,97,Critical,"URGENT: Search LinkedIn for Head of Data in LATAM_USD. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",60d,Data leadership at LATAM-USD companies with open data engineering roles
90-Day Plan,EUROPE,Data Engineering Manager,1,30,29,97,Critical,"URGENT: Search LinkedIn for Data Engineering Manager in EUROPE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",90d,DE managers at European companies building data platforms
90-Day Plan,US_CANADA_NEARSHORE,Head of Data,2,30,28,93,Critical,"URGENT: Search LinkedIn for Head of Data in US_CANADA_NEARSHORE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",60d,Heads of Data who sponsor remote data engineering roles
90-Day Plan,EUROPE,Head of Data,3,40,37,92,Critical,"URGENT: Search LinkedIn for Head of Data in EUROPE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",90d,European data leaders who can refer or hire for data engineering roles
90-Day Plan,US_CANADA_NEARSHORE,Hiring Manager,6,50,44,88,Critical,"URGENT: Search LinkedIn for Hiring Manager in US_CANADA_NEARSHORE. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",45d,Decision-makers at companies with active LATAM remote hiring
90-Day Plan,SPAIN_EU,Director,5,40,35,88,Critical,"URGENT: Search LinkedIn for Director in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",90d,Directors at Spain/EU tech companies with international hiring culture
90-Day Plan,SPAIN_EU,Talent Acquisition,12,60,48,80,Critical,"URGENT: Search LinkedIn for Talent Acquisition in SPAIN_EU. Send 5-10 personalized connection requests daily. Use keywords: remote data engineering, nearshore, LATAM, data platform.",60d,TA professionals at Spain/EU tech companies open to international hires
90-Day Plan,US_CANADA_NEARSHORE,Recruiter,17,80,63,79,High,HIGH: Prioritize Recruiter in US_CANADA_NEARSHORE. Send 3-5 connection requests daily. Engage with their posts before connecting.,30d,US/Canada recruiters who place LATAM contractors in USD-paying roles
90-Day Plan,EUROPE,Recruiter,13,60,47,78,High,HIGH: Prioritize Recruiter in EUROPE. Send 3-5 connection requests daily. Engage with their posts before connecting.,75d,"European recruiters (Germany, Netherlands, Ireland) for data engineering"
90-Day Plan,US_CANADA_NEARSHORE,Talent Acquisition,19,60,41,68,High,HIGH: Prioritize Talent Acquisition in US_CANADA_NEARSHORE. Send 3-5 connection requests daily. Engage with their posts before connecting.,30d,TA teams at nearshore-friendly US/Canada tech companies
90-Day Plan,LATAM_USD,Talent Acquisition,47,60,13,22,Low,"LOW: Continue organic growth for Talent Acquisition in LATAM_USD. Accept inbound connections, no proactive push needed.",30d,TA specialists at LATAM companies that hire remote contractors
90-Day Plan,EUROPE,Talent Acquisition,21,50,29,58,Medium,MEDIUM: Add Talent Acquisition in EUROPE to your weekly outreach rotation. 2-3 connections per week is sufficient.,75d,TA professionals at European tech companies open to Data Engineers
90-Day Plan,LATAM_USD,Recruiter,37,80,43,54,Medium,MEDIUM: Add Recruiter in LATAM_USD to your weekly outreach rotation. 2-3 connections per week is sufficient.,30d,Direct pipeline for USD remote jobs from Brazil via LATAM staffing firms
90-Day Plan,US_CANADA_NEARSHORE,Director,14,25,11,44,Medium,MEDIUM: Add Director in US_CANADA_NEARSHORE to your weekly outreach rotation. 2-3 connections per week is sufficient.,60d,Directors at US/Canada companies with nearshore-friendly culture
90-Day Plan,LATAM_USD,Director,27,20,0,0,Saturated,Maintain existing Director connections in LATAM_USD. No new outreach needed.,60d,Directors at LATAM-USD companies with budget for remote data engineers
