company_clean,connection_count,top_persona,top_area,avg_priority_score,suggested_market,suggested_category,manual_market,manual_category,reason
Hays,74,Other,Other,23.2,,,,,
SENAI CIMATEC,52,Other,Other,14.3,,,,,
Grupo Boticário,48,Other,Other,23.0,,,,,
GE Vernova,43,Other,Other,15.5,,,,,
Larco Petróleo,40,Other,Other,13.5,,,,,
CI&T,32,Other,Data Engineering,24.2,,,,,
GE Renewable Energy,32,Other,Other,15.0,,,,,
Michael Page,31,Other,Other,25.4,,,,,
LM Soluções de Mobilidade,29,Other,Other,14.4,,,,,
IBM,28,Other,Other,26.2,,,,,
AB InBev,25,Data Engineer,Data Engineering,27.1,,,,,
Ford Motor Company,24,Other,Other,12.7,,,,,
Serasa Experian,20,Other,Management,27.3,,,,,
Amazon Web Services (AWS),20,Other,Other,47.6,,,,,
GFT Technologies,20,Other,Management,38.8,,,,,
Artefact,19,Data Engineer,Data Engineering,29.7,,,,,
SAP,19,Other,Management,45.1,,,,,
Globo,19,Other,Management,20.3,,,,,
Freelance,18,Recruiter,Recruiting,28.9,LATAM_USD,,,,
PRINCIPIA,18,Other,Other,12.5,,,,,
Mercado Livre,16,Other,Other,23.3,,,,,
LM Mobilidade,16,Other,Other,15.2,,,,,
TELUS Digital,15,Other,Recruiting,31.5,,,,,
Randstad,14,Other,Recruiting,34.5,,,,,
Sicredi,14,Other,Other,22.9,,,,,
Autônomo,14,Other,Other,22.9,,,,,
Qubika,14,Data Engineer,Data Engineering,34.5,,,,,
Goldwind,14,Other,Other,15.6,,,,,
Inter,14,Data Engineer,Analytics,27.4,,,,,
Blip,14,Other,Analytics,25.9,,,,,
Melt Group,13,Consultant,Consulting,19.9,,,,,
QuintoAndar,13,Other,Management,25.5,,,,,
Factored,12,Data Engineer,Data Engineering,31.4,,,,,
PetroReconcavo,12,Other,Other,14.6,,,,,
PicPay,12,Other,Analytics,29.3,,,,,
Stefanini Group,12,Other,Management,31.2,,,,,
Avanade,11,Data Engineer,Recruiting,34.3,,,,,
Compass UOL,11,Data Engineer,Data Engineering,27.6,,,,,
Continental,11,Other,Other,9.7,,,,,
Aliare,10,Other,Other,25.7,,,,,
DIS AG,10,Other,Consulting,21.7,,,,,
DBC Company,10,Other,HR,21.7,,,,,
Leidos,10,Talent Acquisition,Recruiting,39.0,LATAM_USD,,,,
Zallpy Digital,10,HR,HR,27.2,,,,,
K2 Partnering Solutions,10,Recruiter,Recruiting,47.7,LATAM_USD,,,,
EloGroup,10,Data Engineer,Data Engineering,26.9,,,,,
Datum,10,Other,Other,25.1,,,,,
Lojas Renner S.A,10,Other,Management,27.1,,,,,
Shopee,10,Other,HR,24.7,,,,,
Self-employed,9,Other,Other,23.7,,,,,
Arco Educação,9,Other,Recruiting,36.2,,,,,
Capitani Group,9,Other,Other,23.1,,,,,
Babbel,9,Hiring Manager,Management,34.0,,,,,
BRQ Digital Solutions,9,Other,Recruiting,36.4,,,,,
TIVIT,9,Other,Management,30.6,,,,,
Nortal,9,Other,Other,24.1,,,,,
Asaas,9,Other,Other,24.7,,,,,
Cadastra,9,Data Engineer,Data Engineering,29.0,,,,,
Randstad Enterprise,9,Recruiter,Management,38.1,LATAM_USD,,,,
Flink,9,Director,Management,34.2,,,,,
Korn Ferry,9,Recruiter,Recruiting,37.7,LATAM_USD,,,,
Adecco,9,Consultant,Consulting,27.8,,,,,
Vale,9,Other,Other,32.1,,,,,
Global Group,9,Other,Other,13.7,,,,,
Randstad Uruguay,8,Other,Other,51.9,,,,,
SThree,8,Consultant,Management,26.1,,,,,
SulAmérica,8,Other,Other,23.4,,,,,
Sigma Software Group,8,Other,Management,36.4,,,,,
Neoenergia,8,Other,Other,14.2,,,,,
TPC Logística Inteligente,8,Other,Other,18.1,,,,,
Cielo,8,Data Engineer,Analytics,31.5,,,,,
banco BV,8,Product,Analytics,22.2,,,,,
NTConsult,8,Other,Other,29.6,,,,,
Oracle,8,Other,Management,28.5,,,,,
PageGroup,8,Other,Recruiting,36.6,,,,,
Robert Walters,8,Consultant,Consulting,23.8,,,,,
Insi,7,Recruiter,Recruiting,37.1,LATAM_USD,,,,
Profesional independiente,7,Other,Other,25.9,,,,,
F1RST Digital Services,7,Other,Management,22.6,,,,,
Dasa,7,HR,HR,27.3,,,,,
The Adecco Group,7,Consultant,Consulting,27.7,,,,,
Sodexo,7,Other,HR,13.3,,,,,
Capco,7,Data Engineer,Data Engineering,29.7,,,,,
Walmart Chile,7,Other,Other,45.6,,,,,
EPAM Systems,7,Data Engineer,Recruiting,39.6,,,,,
Hotmart,7,Data Engineer,Data Engineering,35.0,,,,,
Uber,7,Recruiter,Recruiting,33.0,LATAM_USD,,,,
TQI,7,Other,Management,30.1,,,,,
"NTT DATA, Inc",7,Data Engineer,Data Engineering,35.7,,,,,
AltoQi,7,Other,Analytics,26.0,,,,,
Construtora Tenda,7,Other,HR,21.1,,,,,
Coforge,7,Talent Acquisition,Recruiting,49.4,LATAM_USD,,,,
Decision,7,Recruiter,Recruiting,45.7,LATAM_USD,,,,
Nestlé,6,Other,Other,26.5,,,,,
DB,6,Data Engineer,Data Engineering,23.0,,,,,
emagine,6,Other,Management,35.2,,,,,
Citi,6,Data Analyst,Management,28.2,,,,,
Petlove,6,Data Analyst,Analytics,23.8,,,,,
Dev.Pro,6,Recruiter,Recruiting,39.3,LATAM_USD,,,,
Natura,6,Other,Management,26.8,,,,,
LHH,6,Consultant,Consulting,34.0,,,,,
Grupo MAG,6,Other,Other,16.7,,,,,
Taylor Hopkinson | Powered by Brunel,6,Consultant,Consulting,22.2,,,,,
Opah IT,6,Recruiter,Recruiting,34.7,LATAM_USD,,,,
Data Mundo,6,Data Analyst,Analytics,37.2,,,,,
BCG X,6,Data Engineer,Management,33.5,,,,,
Cogna Educação,6,Director,Management,34.0,,,,,
ilegra,6,Other,Other,27.2,,,,,
Jump,6,Data Engineer,Data Engineering,27.5,,,,,
Bracell,6,Other,Other,21.7,,,,,
Ipiranga,6,Other,Other,22.5,,,,,
HelloFresh,6,Talent Acquisition,Recruiting,42.2,LATAM_USD,,,,
DP6,6,Other,Management,33.0,,,,,
Guidance,6,Recruiter,Recruiting,33.8,LATAM_USD,,,,
Inetum,6,Talent Acquisition,Recruiting,39.5,LATAM_USD,,,,
Strider,6,Other,Recruiting,30.0,,,,,
Hire With Near,6,Sourcer,Recruiting,35.3,LATAM_USD,,,,
Banco Bmg,6,Other,Other,28.7,,,,,
iTRTech Group,5,Other,Management,31.4,,,,,
NUMEN,5,Other,Other,22.8,,,,,
Robert Half,5,Director,Management,33.6,,,,,
Banco Carrefour,5,Other,Management,20.6,,,,,
BASF Services Americas,5,HR,HR,30.2,,,,,
Gi Group Holding,5,HR,HR,25.8,,,,,
Truelogic Software,5,Talent Acquisition,Recruiting,50.2,LATAM_USD,,,,
YDUQS,5,Data Analyst,Analytics,28.2,,,,,
DOJO - Smart Ways,5,Director,Management,34.6,,,,,
Deutsche Bank,5,Talent Acquisition,Recruiting,40.2,LATAM_USD,,,,
KWS Group,5,Other,Other,13.8,,,,,
GetYourGuide,5,Other,Analytics,40.4,,,,,
Amadeus Fire,5,Consultant,Consulting,23.8,,,,,
WAYON IT Solutions,5,Other,Other,35.6,,,,,
TP,5,Other,Recruiting,31.4,,,,,
MJV Technology & Innovation,5,Other,Other,35.2,,,,,
Maxxi,5,Consultant,Analytics,30.4,,,,,
Selbstständig,5,Other,Other,18.4,,,,,
ExxonMobil,5,Data Engineer,Data Engineering,30.6,,,,,
Confidential,5,Data Engineer,Data Engineering,33.0,,,,,
RNP,5,Other,Analytics,21.0,,,,,
Delfia,5,Other,HR,30.6,,,,,
Mouts TI,5,Recruiter,Recruiting,35.6,LATAM_USD,,,,
Andersen Lab,5,Recruiter,Recruiting,46.4,LATAM_USD,,,,
Programmers,5,Other,Other,26.4,,,,,
Page Personnel,5,Recruiter,Recruiting,36.6,LATAM_USD,,,,
Progressive Recruitment,5,Consultant,Consulting,20.2,,,,,
Kienbaum,5,Other,Other,24.4,,,,,
Basis Tecnologia da Informação S.A,5,Recruiter,Recruiting,36.2,LATAM_USD,,,,
ManpowerGroup,5,Recruiter,Recruiting,38.2,LATAM_USD,,,,
Improving,5,Other,HR,28.6,,,,,
nstech,5,Other,Other,33.2,,,,,
Cadmus Soluções em TI,5,Recruiter,Recruiting,34.0,LATAM_USD,,,,
Suzano,5,HR,HR,17.6,,,,,
LUZA Group,5,Other,HR,26.2,,,,,
Epsilon Solutions Ltd. SA de CV,5,Recruiter,Recruiting,41.8,LATAM_USD,,,,
Pipefy,5,Other,Other,26.0,,,,,
Teleperformance,5,Other,Management,37.2,,,,,
QUALIFICAR TI,5,Data Scientist,Data Science / AI,30.8,,,,,
Minerva Foods,4,Other,Management,21.5,,,,,
amaxo GmbH,4,Other,Management,24.8,,,,,
Solvo Global,4,Talent Acquisition,Recruiting,39.0,LATAM_USD,,,,
Grupo Vorp,4,Other,Other,21.0,,,,,
Accenture Song,4,Other,Management,30.0,,,,,
Straumann Group,4,Other,Management,32.5,,,,,
Flash,4,Data Analyst,Recruiting,33.8,,,,,
W3haus,4,Other,Management,25.2,,,,,
Quantum World Technologies Inc,4,Other,Management,47.8,,,,,
Pulse Client Experts,4,HR,HR,27.8,,,,,
dti digital,4,Data Engineer,Data Engineering,24.8,,,,,
Infleet - Gestão de Frotas,4,Other,Management,22.5,,,,,
Direcional Engenharia,4,Other,Other,19.2,,,,,
Power Tuning,4,Data Engineer,Data Engineering,24.2,,,,,
Positivo Tecnologia,4,Other,Other,23.0,,,,,
Montreal Oficial,4,Recruiter,Recruiting,62.0,LATAM_USD,,,,
Grupo Fleury,4,Other,Other,17.0,,,,,
Grupo GFT,4,Director,Management,33.0,,,,,
Accord Innovations,4,Talent Acquisition,Recruiting,46.5,LATAM_USD,,,,
Driva,4,Executive,Management,34.2,,,,,
Cresol Cooperativa,4,Other,Other,16.0,,,,,
Grupo Panvel,4,Other,HR,16.5,,,,,
Cross Border Talents,4,Other,Management,32.0,,,,,
Lenovo,4,HR,HR,17.8,,,,,
ArcelorMittal Sistemas,4,Other,Management,27.2,,,,,
beAnalytic,4,Other,Analytics,25.2,,,,,
Spassu,4,Recruiter,Recruiting,31.5,LATAM_USD,,,,
Neon,4,HR,HR,25.0,,,,,
NDA,4,Other,Other,26.2,,,,,
Cotrijal Cooperativa Agropecuária e Industrial,4,Other,HR,11.8,,,,,
RED Global,4,Other,Management,33.2,,,,,
Mirante Tecnologia,4,Data Engineer,Data Engineering,34.2,,,,,
SysMap Solutions,4,Other,HR,17.8,,,,,
Softplan,4,HR,HR,20.5,,,,,
Softtek,4,Other,Other,25.8,,,,,
Cooperativa Central Ailos,4,Other,Other,18.2,,,,,
Solar Coca-Cola,4,Other,Other,33.0,,,,,
NAVA - Technology for Business,4,Recruiter,Recruiting,56.8,LATAM_USD,,,,
Syren Cloud Inc,4,Talent Acquisition,Recruiting,55.0,LATAM_USD,,,,
Spin,4,Head of Data,Analytics,35.8,,,,,
Monitor Deloitte,4,Other,Other,22.2,,,,,
EXAME,4,Other,Other,26.2,,,,,
Praxis,4,Talent Acquisition,Recruiting,38.8,LATAM_USD,,,,
Aubay Portugal,4,Executive,Management,55.8,,,,,
GlobalLogic,4,Other,Other,30.8,,,,,
Escale,4,Other,Management,28.8,,,,,
Tecla T,4,Recruiter,Recruiting,44.5,LATAM_USD,,,,
Hapvida NotreDame Intermédica,4,Other,Other,24.2,,,,,
BEES,4,Other,Management,26.2,,,,,
Equifax I BoaVista,4,Other,Management,23.5,,,,,
Equifax,4,HR,Management,31.0,,,,,
GEP Worldwide,4,Other,Other,27.0,,,,,
Entrust it - Consultoria em TI,4,Other,HR,32.0,,,,,
CodeRoad Inc,4,Recruiter,Recruiting,49.0,LATAM_USD,,,,
Haleon,4,Talent Acquisition,Recruiting,37.0,LATAM_USD,,,,
Ensitech,4,Recruiter,Recruiting,58.5,LATAM_USD,,,,
Raízen,4,Other,Management,18.0,,,,,
Hitachi Energy,4,Other,Management,16.8,,,,,
BASF,4,Other,Management,35.8,,,,,
Ratbacher GmbH,4,Other,Management,24.2,,,,,
FERCHAU,4,Other,Management,26.5,,,,,
B3,4,Other,Analytics,28.0,,,,,
Cloudster,4,Other,Management,43.0,,,,,
Paytrack,4,Product,Product,27.0,,,,,
The HEINEKEN Company,4,Other,Other,23.8,,,,,
Honeywell,4,HR,HR,34.2,,,,,
Rede D'Or São Luiz,4,Other,Analytics,18.5,,,,,
Rede Américas,4,Other,Analytics,19.8,,,,,
Sabesp,4,Other,Other,16.2,,,,,
Velozient,4,Other,Other,28.8,,,,,
Tigo Bolivia,4,Other,Other,34.2,,,,,
Banco Unión S.A,4,Other,Other,21.0,,,,,
Vetta,4,HR,HR,22.8,,,,,
BNP Paribas,4,Data Engineer,Data Engineering,18.2,,,,,
RSE - Gerenciamento de Risco e Sustentabilidade,4,Other,Other,11.8,,,,,
mazzatech,4,Recruiter,Recruiting,61.8,LATAM_USD,,,,
Reply,4,Other,Consulting,26.8,,,,,
Brunel,4,Other,Management,24.2,,,,,
Petrobahia S.A,4,Other,Other,12.0,,,,,
Timenow,4,Other,Other,20.5,,,,,
AMS,4,Other,Other,26.0,,,,,
Choco,4,Software Engineer,Software Engineering,36.5,,,,,
CSP Tech,4,Other,Other,30.0,,,,,
Self Employed,4,Consultant,Consulting,19.5,,,,,
IFIT Solutions,4,Recruiter,Recruiting,46.8,LATAM_USD,,,,
A3Data,4,Director,Management,46.0,,,,,
Taller,4,Recruiter,Recruiting,39.5,LATAM_USD,,,,
Farmácias Pague Menos,4,Director,HR,31.2,,,,,
Empresa Confidencial,4,Consultant,Consulting,29.5,,,,,
PIXIE,4,Other,Management,34.5,,,,,
US Tech Solutions,4,Recruiter,Recruiting,56.5,LATAM_USD,,,,
Concentrix,4,Talent Acquisition,Recruiting,51.5,LATAM_USD,,,,
Visa,4,Director,Management,40.2,,,,,
UltraCon Consultoria,4,Recruiter,Recruiting,36.5,LATAM_USD,,,,
Plan A Technologies,4,Other,Other,41.5,,,,,
VTEX,4,Data Scientist,Data Science / AI,30.8,,,,,
Compass.uol,4,Consultant,Analytics,28.2,,,,,
Talent2Win Perú,4,Talent Acquisition,Recruiting,40.5,LATAM_USD,,,,
Jusbrasil,4,Data Engineer,Management,38.2,,,,,
Universidade SENAI CIMATEC,3,Other,Other,13.0,,,,,
UOL EdTech,3,Other,Management,42.3,,,,,
Banco PAN,3,Data Analyst,Analytics,23.0,,,,,
Projective Talent | Part of Projective Group,3,Consultant,Consulting,25.0,,,,,
"Stanley Black & Decker, Inc",3,Talent Acquisition,Recruiting,43.0,LATAM_USD,,,,
Orion Talent,3,Recruiter,Recruiting,35.3,LATAM_USD,,,,
International Development Resources LTD,3,Recruiter,Recruiting,60.0,LATAM_USD,,,,
Workana,3,Consultant,Recruiting,37.0,,,,,
NTT DATA Services,3,Consultant,Consulting,41.0,,,,,
BlueCloud,3,Other,Analytics,38.0,,,,,
Horizontal Talent,3,Other,Other,30.0,,,,,
Dedalus,3,Director,HR,35.7,,,,,
Caterpillar Inc,3,Other,Other,19.0,,,,,
Deel,3,Director,Management,27.7,,,,,
UX Group,3,Other,Recruiting,42.3,,,,,
Caveo,3,Executive,Management,33.0,,,,,
Objective,3,Recruiter,Recruiting,38.3,LATAM_USD,,,,
Celonis,3,Software Engineer,Software Engineering,28.3,,,,,
Staan,3,Consultant,Consulting,21.0,,,,,
Stadtwerke München GmbH,3,Other,Other,31.0,,,,,
IDM Technology,3,Other,Other,30.3,,,,,
Intellias,3,HR,Management,25.3,,,,,
DataArt,3,Other,Management,42.7,,,,,
PSW Digital,3,Data Engineer,Data Engineering,34.0,,,,,
Grupo Falabella,3,HR,Recruiting,34.7,,,,,
Apex Systems,3,Recruiter,Recruiting,47.3,LATAM_USD,,,,
Icatu Seguros,3,Data Engineer,Data Engineering,26.3,,,,,
Grupo EULEN,3,Other,Other,19.7,,,,,
PROPOSITO Human Capital Solutions,3,Consultant,Consulting,20.7,,,,,
Stealth Startup,3,Executive,Management,36.3,,,,,
Promon Engenharia,3,HR,HR,19.0,,,,,
ParallelStaff,3,Other,Recruiting,45.3,,,,,
X-Team,3,Recruiter,Recruiting,40.3,LATAM_USD,,,,
Danone,3,Data Analyst,Analytics,28.0,,,,,
ValueNet Group,3,Other,Management,26.3,,,,,
Ancient - The Wisdom of Technology,3,Recruiter,Recruiting,53.0,LATAM_USD,,,,
Statista,3,Data Engineering Manager,Management,44.7,,,,,
Trade Alliance Corporation,3,Other,Other,26.0,,,,,
Dadosfera,3,Other,Operations,31.3,,,,,
Paired,3,Recruiter,Recruiting,48.0,LATAM_USD,,,,
Parallel Staff,3,Talent Acquisition,Recruiting,53.0,LATAM_USD,,,,
VYZE INC,3,Recruiter,Recruiting,46.3,LATAM_USD,,,,
DXC Technology,3,Other,Management,32.3,,,,,
CGI,3,Director,Management,42.0,,,,,
